Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,DR-M,DR-A,DR%
Flanagan,188719,3,3,1.00,27,41,0.66,2,9,0.22,0,0,0.00,5,10,0.50
Street,193973,15,19,0.79,10,16,0.62,9,21,0.43,30,77,0.39,9,21,0.43
Gentry,194044,47,60,0.78,11,22,0.50,40,88,0.45,65,174,0.37,116,247,0.47
Borden,188067,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Parker,193072,9,9,1.00,1,5,0.20,3,6,0.50,17,44,0.39,2,2,1.00
Teague,199663,0,0,0.00,1,5,0.20,0,0,0.00,1,1,1.00,0,0,0.00
Bradley,201768,0,0,0.00,23,37,0.62,2,7,0.29,2,4,0.50,0,0,0.00
Howland,193585,0,0,0.00,38,74,0.51,10,22,0.45,0,9,0.00,1,6,0.17
Singer,191735,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Richmond,189198,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00
Allen,185503,9,11,0.82,42,73,0.58,40,77,0.52,55,129,0.43,21,49,0.43
Binder,189200,1,1,1.00,117,226,0.52,10,35,0.29,6,19,0.32,5,10,0.50
Tarver,183209,0,0,0.00,197,337,0.58,10,24,0.42,8,26,0.31,5,12,0.42
Wade,185604,37,55,0.67,13,29,0.45,62,131,0.47,101,256,0.39,71,157,0.45
Spurlock,190065,29,45,0.64,26,46,0.57,41,107,0.38,50,160,0.31,67,140,0.48
Temple,190152,1,4,0.25,13,34,0.38,9,31,0.29,21,61,0.34,10,23,0.43
Porter,196932,0,0,0.00,47,66,0.71,3,10,0.30,0,6,0.00,0,1,0.00
Strong,196862,0,0,0.00,91,165,0.55,23,47,0.49,4,19,0.21,2,5,0.40
Skidmore,195536,13,17,0.76,3,8,0.38,14,31,0.45,12,44,0.27,9,18,0.50
Young,191521,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,1,1,1.00
Guy,191079,0,0,0.00,33,50,0.66,6,7,0.86,1,6,0.17,0,2,0.00
Foster,195389,24,33,0.73,12,23,0.52,33,76,0.43,33,102,0.32,57,114,0.50
Holton,199631,1,1,1.00,0,1,0.00,0,0,0.00,2,4,0.50,1,2,0.50
Benner,194419,9,17,0.53,43,94,0.46,52,116,0.45,60,182,0.33,39,79,0.49
Dalton,187712,35,45,0.78,95,192,0.49,23,81,0.28,17,55,0.31,114,244,0.47
Weston,193097,3,4,0.75,145,255,0.57,17,43,0.40,11,20,0.55,9,21,0.43
Perdomo,204759,29,34,0.85,27,46,0.59,44,104,0.42,56,179,0.31,27,53,0.51
Hunter,195732,27,42,0.64,9,14,0.64,43,98,0.44,73,197,0.37,84,175,0.48
Ogden,205698,0,0,0.00,16,30,0.53,2,5,0.40,2,3,0.67,2,3,0.67
Summers,205639,0,0,0.00,5,9,0.56,2,4,0.50,2,10,0.20,1,2,0.50
Brockman,200648,10,16,0.62,12,19,0.63,10,30,0.33,20,80,0.25,26,53,0.49
Owens,198668,5,7,0.71,0,2,0.00,8,13,0.62,4,17,0.24,3,5,0.60
Hines,197335,0,2,0.00,117,231,0.51,6,25,0.24,10,26,0.38,3,8,0.38
Dorman,198112,1,1,1.00,0,0,0.00,2,3,0.67,0,1,0.00,1,4,0.25
Graham,197197,0,0,0.00,2,4,0.50,0,0,0.00,0,0,0.00,0,0,0.00
Smiley,184035,22,27,0.81,57,93,0.61,71,125,0.57,75,216,0.35,71,138,0.51
Martinez,188019,2,2,1.00,63,124,0.51,43,72,0.60,89,203,0.44,5,13,0.38
Lorenzo,198530,1,1,1.00,240,362,0.66,5,11,0.45,0,1,0.00,1,3,0.33
Miller,192817,54,70,0.77,52,82,0.63,63,148,0.43,144,404,0.36,55,124,0.44
Babb,187989,39,50,0.78,31,44,0.70,34,83,0.41,135,367,0.37,36,64,0.56
Reid,191234,0,0,0.00,33,54,0.61,2,7,0.29,0,0,0.00,0,0,0.00
McKenna,208170,2,2,1.00,25,54,0.46,3,15,0.20,12,29,0.41,3,9,0.33
Smith,201012,8,18,0.44,13,21,0.62,12,40,0.30,31,85,0.36,24,59,0.41
Kovac,212978,2,2,1.00,0,0,0.00,2,3,0.67,3,7,0.43,0,0,0.00
Olsson,209186,0,0,0.00,3,5,0.60,0,0,0.00,0,0,0.00,0,0,0.00
Berg,203330,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Yancey,192510,1,2,0.50,18,27,0.67,6,25,0.24,6,27,0.22,2,8,0.25
Harris,188981,3,3,1.00,86,151,0.57,55,94,0.59,69,181,0.38,7,25,0.28
Bench,188284,8,13,0.62,79,174,0.45,19,29,0.66,10,28,0.36,36,79,0.46
Chavez,195037,16,22,0.73,19,44,0.43,53,108,0.49,164,401,0.41,32,75,0.43
Williamson,187608,19,22,0.86,24,39,0.62,35,94,0.37,121,337,0.36,57,128,0.45
Graves,190142,0,0,0.00,13,26,0.50,1,2,0.50,1,3,0.33,0,2,0.00
Molina,196531,1,1,1.00,61,106,0.58,4,10,0.40,0,1,0.00,2,9,0.22
Olsen,192454,21,24,0.88,9,22,0.41,35,65,0.54,40,96,0.42,56,128,0.44
Fontana,191266,1,2,0.50,1,2,0.50,3,8,0.38,10,22,0.45,2,3,0.67
Eaton,196140,0,0,0.00,11,13,0.85,0,1,0.00,1,1,1.00,0,0,0.00
Cortez,191212,3,4,0.75,26,44,0.59,11,39,0.28,34,85,0.40,19,39,0.49
Turner,192227,7,7,1.00,2,2,1.00,3,10,0.30,5,14,0.36,6,14,0.43
Ross,192007,6,7,0.86,81,121,0.67,21,54,0.39,23,81,0.28,5,16,0.31
Murphay,185060,6,8,0.75,147,239,0.62,26,52,0.50,70,170,0.41,9,26,0.35
Tucker,198403,2,3,0.67,182,321,0.57,4,16,0.25,4,13,0.31,4,12,0.33
Alexander,204743,0,0,0.00,3,3,1.00,0,2,0.00,4,7,0.57,0,3,0.00
Crowder,198550,51,75,0.68,17,29,0.59,30,106,0.28,25,77,0.32,141,289,0.49
Barnett,205714,16,24,0.67,4,12,0.33,22,50,0.44,19,53,0.36,46,94,0.49
Adkins,192592,0,2,0.00,146,233,0.63,9,24,0.38,3,18,0.17,6,14,0.43
Blair,190905,1,2,0.50,73,112,0.65,19,48,0.40,16,45,0.36,4,9,0.44
Franco,196095,18,23,0.78,21,45,0.47,25,59,0.42,37,104,0.36,15,34,0.44
Petry,189773,23,30,0.77,30,56,0.54,43,76,0.57,65,186,0.35,70,135,0.52
Munoz,194241,4,6,0.67,180,323,0.56,6,19,0.32,4,21,0.19,16,42,0.38
Snyder,188680,1,1,1.00,236,419,0.56,9,18,0.50,1,2,0.50,8,15,0.53
Bergstrom,196152,26,35,0.74,6,21,0.29,25,65,0.38,60,181,0.33,38,86,0.44
Browne,205473,27,33,0.82,20,35,0.57,34,77,0.44,57,159,0.36,29,63,0.46
Lankford,194565,1,2,0.50,74,133,0.56,27,72,0.38,28,93,0.30,4,10,0.40
Santini,188371,2,3,0.67,0,0,0.00,1,1,1.00,4,10,0.40,2,4,0.50
Bos,206394,0,1,0.00,67,131,0.51,7,20,0.35,3,9,0.33,5,10,0.50
Cameron,187862,7,15,0.47,10,25,0.40,22,60,0.37,38,93,0.41,9,19,0.47
Spence,196075,0,0,0.00,0,0,0.00,0,0,0.00,1,3,0.33,0,0,0.00
Morrison,193150,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
McNamara,197134,2,6,0.33,0,0,0.00,2,4,0.50,3,9,0.33,14,20,0.70
Owens,193569,19,23,0.83,47,87,0.54,44,94,0.47,105,302,0.35,39,76,0.51
Hackett,189372,0,0,0.00,116,185,0.63,25,49,0.51,21,41,0.51,4,11,0.36
Brown,186055,7,8,0.88,193,339,0.57,17,50,0.34,23,51,0.45,13,26,0.50
Tucker,200053,35,38,0.92,33,47,0.70,37,77,0.48,80,220,0.36,21,38,0.55
McLean,186073,30,35,0.86,14,22,0.64,46,89,0.52,55,150,0.37,58,140,0.41
Sands,189084,46,76,0.61,28,61,0.46,92,203,0.45,2,5,0.40,164,286,0.57
Bishop,202363,0,0,0.00,0,1,0.00,0,1,0.00,1,2,0.50,0,2,0.00
Hui,196434,8,10,0.80,1,5,0.20,5,13,0.38,5,15,0.33,4,14,0.29
Venturi,195317,3,3,1.00,112,188,0.60,11,25,0.44,3,9,0.33,14,24,0.58
Robison,194054,7,7,1.00,8,19,0.42,9,17,0.53,17,44,0.39,15,24,0.62
Dimovski,216098,0,0,0.00,3,6,0.50,0,3,0.00,1,3,0.33,0,1,0.00
Herzog,192576,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Robinson,198979,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
Grant,196637,20,26,0.77,45,89,0.51,55,109,0.50,55,183,0.30,50,97,0.52
Jablonski,197809,0,1,0.00,123,244,0.50,19,41,0.46,13,42,0.31,6,12,0.50
Esposito,194369,0,2,0.00,131,244,0.54,2,14,0.14,6,12,0.50,5,10,0.50
Pierre,187580,25,34,0.74,33,56,0.59,49,134,0.37,96,282,0.34,57,136,0.42
Mullins,195017,36,53,0.68,10,22,0.45,63,137,0.46,44,148,0.30,133,311,0.43
Lopez,190753,6,6,1.00,17,28,0.61,19,37,0.51,24,62,0.39,27,64,0.42
McCoy,187901,7,11,0.64,15,24,0.62,13,26,0.50,15,55,0.27,26,48,0.54
Chavarria,202117,0,0,0.00,5,8,0.62,0,1,0.00,3,12,0.25,2,3,0.67
Martin,197120,2,2,1.00,79,134,0.59,11,28,0.39,3,12,0.25,10,28,0.36
Elrod,200807,9,12,0.75,14,22,0.64,8,19,0.42,9,45,0.20,11,21,0.52
Rogers,189646,17,22,0.77,69,123,0.56,61,123,0.50,12,31,0.39,56,106,0.53
Colonna,211546,3,5,0.60,59,111,0.53,20,37,0.54,4,14,0.29,8,17,0.47
Whitehead,202859,5,8,0.62,91,182,0.50,7,18,0.39,8,17,0.47,18,41,0.44
Cooper,189605,48,71,0.68,21,42,0.50,42,114,0.37,45,138,0.33,123,258,0.48
Courtney,191755,14,23,0.61,10,20,0.50,32,73,0.44,59,160,0.37,37,96,0.39
Wright,198305,13,17,0.76,7,12,0.58,15,42,0.36,13,25,0.52,50,127,0.39
Douglas,197336,7,11,0.64,18,26,0.69,28,60,0.47,46,133,0.35,40,86,0.47
Doll,190545,2,2,1.00,15,26,0.58,3,6,0.50,2,6,0.33,10,19,0.53
Destrade,216042,0,1,0.00,1,2,0.50,0,0,0.00,0,0,0.00,1,1,1.00
Cleveland,204456,0,0,0.00,0,1,0.00,1,3,0.33,2,4,0.50,0,0,0.00
Palmer,195699,0,2,0.00,147,305,0.48,19,38,0.50,13,36,0.36,6,14,0.43
Padgett,190316,4,4,1.00,16,34,0.47,30,74,0.41,65,192,0.34,9,20,0.45
Godwin,193907,4,6,0.67,106,177,0.60,9,27,0.33,3,6,0.50,11,25,0.44
Ferretti,187648,0,3,0.00,41,82,0.50,0,0,0.00,0,0,0.00,3,8,0.38
Grisson,188875,15,24,0.62,61,118,0.52,37,107,0.35,75,211,0.36,48,109,0.44
Ross,192324,46,64,0.72,14,25,0.56,71,171,0.42,79,224,0.35,214,487,0.44
Markham,190547,41,54,0.76,29,46,0.63,48,110,0.44,50,135,0.37,107,193,0.55
Brockman,205261,0,0,0.00,8,16,0.50,0,3,0.00,1,2,0.50,0,0,0.00
Langley,194777,8,15,0.53,8,17,0.47,17,45,0.38,17,64,0.27,8,19,0.42
Hood,193249,1,1,1.00,68,100,0.68,8,17,0.47,15,29,0.52,2,3,0.67
Archuleta,202031,1,1,1.00,2,2,1.00,2,3,0.67,1,5,0.20,0,2,0.00
Healy,189598,1,2,0.50,0,0,0.00,1,5,0.20,0,1,0.00,2,3,0.67
Blanco,203720,0,0,0.00,1,3,0.33,0,2,0.00,2,4,0.50,1,1,1.00
Watt,201523,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Luca,184999,17,23,0.74,57,110,0.52,47,94,0.50,78,224,0.35,38,94,0.40
Sweat,200561,0,0,0.00,148,260,0.57,6,13,0.46,0,2,0.00,2,4,0.50
Haugen,184139,3,4,0.75,194,331,0.59,24,48,0.50,33,79,0.42,4,20,0.20
Moody,193364,36,48,0.75,54,91,0.59,67,176,0.38,35,90,0.39,20,41,0.49
George,184551,85,129,0.66,17,35,0.49,73,170,0.43,121,284,0.43,302,588,0.51
Zamora,197580,6,11,0.55,7,14,0.50,11,22,0.50,26,86,0.30,10,26,0.38
Douglas,196958,7,9,0.78,8,17,0.47,14,21,0.67,34,76,0.45,4,6,0.67
Warren,192856,0,0,0.00,85,151,0.56,5,14,0.36,4,11,0.36,1,5,0.20
Yoder,200005,1,1,1.00,2,3,0.67,1,4,0.25,0,2,0.00,0,1,0.00
Kane,200743,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Flynn,192823,10,15,0.67,27,73,0.37,36,80,0.45,56,146,0.38,35,74,0.47
Payne,188743,1,2,0.50,189,375,0.50,13,38,0.34,12,31,0.39,10,25,0.40
Hampton,198984,0,0,0.00,216,436,0.50,17,33,0.52,9,34,0.26,4,9,0.44
Hawkins,199722,37,40,0.93,26,54,0.48,61,139,0.44,2,9,0.22,17,29,0.59
Gross,201085,30,68,0.44,9,18,0.50,55,140,0.39,41,124,0.33,182,409,0.44
Cole,204723,0,1,0.00,2,5,0.40,0,0,0.00,1,1,1.00,2,2,1.00
Ellsworth,203749,4,4,1.00,5,8,0.62,2,15,0.13,19,82,0.23,0,7,0.00
Stearns,203591,2,2,1.00,38,67,0.57,6,22,0.27,3,11,0.27,5,15,0.33
Elliott,201953,8,10,0.80,2,7,0.29,20,34,0.59,31,75,0.41,7,20,0.35
Herrmann,199900,3,3,1.00,22,40,0.55,7,21,0.33,1,4,0.25,2,7,0.29
Parker,201263,0,0,0.00,1,2,0.50,1,2,0.50,3,7,0.43,0,1,0.00
Marsh,194919,0,0,0.00,0,1,0.00,0,0,0.00,0,1,0.00,1,1,1.00
Traverso,201937,0,0,0.00,0,3,0.00,3,7,0.43,2,11,0.18,0,0,0.00
Kohl,188387,28,35,0.80,50,112,0.45,40,109,0.37,58,153,0.38,87,169,0.51
Asher,190603,2,3,0.67,42,90,0.47,9,17,0.53,4,10,0.40,11,17,0.65
Feldman,190037,7,11,0.64,181,282,0.64,33,52,0.63,10,32,0.31,32,58,0.55
Sowell,196329,0,1,0.00,0,1,0.00,4,7,0.57,2,7,0.29,4,7,0.57
Fraley,189203,66,126,0.52,15,23,0.65,55,160,0.34,63,157,0.40,329,615,0.53
Weatherspoon,195264,11,19,0.58,7,11,0.64,19,39,0.49,18,47,0.38,33,67,0.49
Greco,194051,1,1,1.00,46,97,0.47,4,7,0.57,2,3,0.67,2,8,0.25
Morales,193756,15,20,0.75,2,3,0.67,11,34,0.32,24,61,0.39,45,93,0.48
Summers,188795,35,57,0.61,23,33,0.70,40,92,0.43,58,169,0.34,101,191,0.53
Barnett,187628,1,2,0.50,215,336,0.64,8,18,0.44,8,21,0.38,4,17,0.24
Mays,193841,0,0,0.00,11,27,0.41,7,13,0.54,13,35,0.37,4,14,0.29
Jeffries,205122,0,0,0.00,3,5,0.60,0,1,0.00,2,4,0.50,0,0,0.00
Barlow,199032,1,1,1.00,0,0,0.00,0,3,0.00,0,3,0.00,4,8,0.50
Gardner,191236,11,13,0.85,45,98,0.46,53,118,0.45,66,173,0.38,23,51,0.45
Schwartz,203675,0,0,0.00,38,67,0.57,5,20,0.25,6,22,0.27,4,7,0.57
Saunders,186920,28,41,0.68,63,115,0.55,54,132,0.41,5,21,0.24,66,132,0.50
Gamberini,199627,39,51,0.76,14,31,0.45,61,124,0.49,114,318,0.36,92,199,0.46
Livingston,184153,31,36,0.86,116,201,0.58,30,98,0.31,2,7,0.29,71,113,0.63
Sibley,198977,0,0,0.00,119,193,0.62,4,14,0.29,4,18,0.22,1,9,0.11
Coughlin,195359,2,2,1.00,16,34,0.47,13,23,0.57,21,55,0.38,1,4,0.25
House,194182,0,0,0.00,8,12,0.67,1,2,0.50,1,2,0.50,1,2,0.50
Kidd,193142,0,0,0.00,77,147,0.52,6,17,0.35,0,11,0.00,4,11,0.36
Broderick,199372,4,5,0.80,1,5,0.20,2,6,0.33,4,11,0.36,11,21,0.52
Griffin,196221,1,3,0.33,0,0,0.00,0,1,0.00,1,2,0.50,4,6,0.67
Van,202278,4,4,1.00,2,10,0.20,10,30,0.33,10,27,0.37,5,10,0.50
Karlsson,203642,0,0,0.00,1,2,0.50,0,0,0.00,1,1,1.00,0,0,0.00
Fischer,191544,5,5,1.00,133,216,0.62,23,74,0.31,38,105,0.36,18,37,0.49
Powell,189727,0,1,0.00,224,376,0.60,14,44,0.32,8,39,0.21,3,8,0.38
George,190092,4,6,0.67,114,214,0.53,9,23,0.39,9,23,0.39,14,26,0.54
Velasco,188265,27,42,0.64,37,73,0.51,56,119,0.47,67,193,0.35,39,104,0.38
Magnum,191706,91,124,0.73,17,23,0.74,66,145,0.46,51,121,0.42,275,524,0.52
Ham,189828,10,15,0.67,45,85,0.53,33,77,0.43,33,92,0.36,30,59,0.51
Townsend,187790,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Grier,190476,18,21,0.86,12,22,0.55,12,36,0.33,44,111,0.40,23,51,0.45
Mackay,190412,0,0,0.00,19,36,0.53,1,3,0.33,0,0,0.00,2,4,0.50
Ott,190248,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Pope,191580,5,6,0.83,2,2,1.00,4,9,0.44,3,9,0.33,5,13,0.38
Fontana,187992,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,3,0.00
Zeller,197181,5,7,0.71,1,1,1.00,2,6,0.33,4,14,0.29,2,2,1.00
Bianco,193300,11,12,0.92,64,105,0.61,68,129,0.53,134,336,0.40,9,23,0.39
Wray,191485,0,0,0.00,114,190,0.60,3,8,0.38,0,1,0.00,1,4,0.25
Foss,184105,0,0,0.00,191,310,0.62,2,4,0.50,0,2,0.00,8,16,0.50
Richardson,201019,18,25,0.72,25,46,0.54,27,80,0.34,90,291,0.31,21,51,0.41
Huffman,185195,84,120,0.70,20,35,0.57,73,172,0.42,119,369,0.32,327,651,0.50
Keene,200146,0,1,0.00,134,213,0.63,13,32,0.41,16,55,0.29,3,7,0.43
Ogden,199271,17,18,0.94,8,17,0.47,21,39,0.54,23,67,0.34,12,27,0.44
Cook,196012,0,0,0.00,11,27,0.41,1,3,0.33,0,0,0.00,0,6,0.00
Blakely,186743,9,9,1.00,14,23,0.61,11,23,0.48,17,51,0.33,8,13,0.62
Jacoby,188580,4,4,1.00,2,3,0.67,2,7,0.29,5,21,0.24,2,5,0.40
Madsen,191593,0,0,0.00,6,11,0.55,3,6,0.50,6,13,0.46,0,1,0.00
Seymour,195041,21,25,0.84,92,189,0.49,34,84,0.40,38,108,0.35,45,94,0.48
Barbosa,197360,2,2,1.00,52,104,0.50,12,31,0.39,6,21,0.29,11,15,0.73
Clinton,188303,6,8,0.75,213,357,0.60,1,4,0.25,8,20,0.40,29,66,0.44
Fiori,194977,46,75,0.61,23,49,0.47,68,143,0.48,85,243,0.35,160,324,0.49
Isales,183253,34,38,0.89,13,26,0.50,29,65,0.45,60,167,0.36,48,96,0.50
Pritchard,198108,15,22,0.68,13,17,0.76,14,35,0.40,21,48,0.44,42,79,0.53
Hammer,194869,11,16,0.69,6,12,0.50,5,23,0.22,12,40,0.30,13,27,0.48
Doss,191773,1,1,1.00,51,90,0.57,6,13,0.46,0,6,0.00,6,10,0.60
Mayo,204444,4,5,0.80,31,67,0.46,37,80,0.46,40,132,0.30,14,38,0.37
Bartley,190830,0,0,0.00,3,6,0.50,1,1,1.00,0,2,0.00,0,0,0.00
Henderson,204423,1,1,1.00,2,4,0.50,2,6,0.33,4,9,0.44,1,3,0.33
Dixon,190068,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Svensson,188894,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Jenkins,196226,2,5,0.40,34,74,0.46,26,70,0.37,42,139,0.30,15,36,0.42
Kelly,193257,2,5,0.40,142,254,0.56,11,39,0.28,10,47,0.21,21,39,0.54
Corral,188071,2,5,0.40,153,301,0.51,16,33,0.48,11,25,0.44,27,56,0.48
Brubaker,190329,68,100,0.68,24,46,0.52,79,164,0.48,62,161,0.39,240,446,0.54
Wagoner,188496,24,30,0.80,20,32,0.62,25,82,0.30,32,120,0.27,31,75,0.41
Wynne,193462,17,27,0.63,5,11,0.45,17,57,0.30,21,86,0.24,30,65,0.46
Cole,193147,1,2,0.50,10,17,0.59,12,31,0.39,6,37,0.16,3,7,0.43
Ford,189011,1,2,0.50,2,2,1.00,3,17,0.18,7,17,0.41,11,29,0.38
Glick,203047,1,2,0.50,26,66,0.39,2,7,0.29,1,3,0.33,4,6,0.67
Pinto,200921,0,0,0.00,19,36,0.53,4,16,0.25,4,14,0.29,4,4,1.00
Bellomo,196306,0,0,0.00,1,1,1.00,2,3,0.67,0,2,0.00,0,1,0.00
Hahn,202085,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Neill,201396,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Kline,202966,6,7,0.86,61,141,0.43,37,109,0.34,45,173,0.26,10,24,0.42
Sam,199863,2,3,0.67,77,141,0.55,3,7,0.43,4,16,0.25,6,19,0.32
Cain,198672,1,3,0.33,98,161,0.61,15,34,0.44,4,14,0.29,17,32,0.53
Thigpen,204539,30,49,0.61,22,52,0.42,61,177,0.34,92,302,0.30,64,137,0.47
Heaton,187811,32,42,0.76,12,20,0.60,23,61,0.38,51,136,0.38,40,77,0.52
Rasmussen,189596,1,2,0.50,1,3,0.33,0,1,0.00,0,0,0.00,3,5,0.60
Flaherty,189371,0,0,0.00,7,13,0.54,2,7,0.29,4,13,0.31,0,5,0.00
Buchanan,200088,0,0,0.00,2,3,0.67,0,0,0.00,0,0,0.00,0,0,0.00
Fiori,197564,1,1,1.00,0,0,0.00,2,6,0.33,2,3,0.67,2,3,0.67
Workman,197110,4,5,0.80,2,8,0.25,7,14,0.50,20,48,0.42,2,6,0.33
Copeland,196000,5,8,0.62,44,95,0.46,63,119,0.53,63,145,0.43,12,40,0.30
Adams,196832,0,0,0.00,0,0,0.00,0,2,0.00,0,0,0.00,0,1,0.00
Naruse,189661,30,42,0.71,25,51,0.49,43,88,0.49,48,165,0.29,91,172,0.53
Woods,194030,2,2,1.00,229,339,0.68,10,28,0.36,19,53,0.36,4,11,0.36
Mantovani,189083,0,0,0.00,174,277,0.63,27,49,0.55,29,63,0.46,3,7,0.43
Braxton,188751,70,91,0.77,16,32,0.50,36,109,0.33,87,226,0.38,107,223,0.48
Agostini,183756,100,144,0.69,13,19,0.68,94,197,0.48,117,297,0.39,339,691,0.49
Forster,191303,4,4,1.00,144,197,0.73,33,55,0.60,39,83,0.47,1,4,0.25
Mills,189367,0,0,0.00,21,34,0.62,4,10,0.40,1,4,0.25,0,2,0.00
Doyle,198600,10,11,0.91,4,4,1.00,15,22,0.68,6,24,0.25,3,14,0.21
Kennedy,194404,18,20,0.90,11,14,0.79,6,22,0.27,21,77,0.27,8,21,0.38
Alba,197200,1,3,0.33,1,2,0.50,0,5,0.00,7,11,0.64,2,6,0.33
Tolbert,196035,0,0,0.00,18,21,0.86,0,1,0.00,0,1,0.00,0,1,0.00
Jackson,193507,4,4,1.00,15,36,0.42,17,31,0.55,6,17,0.35,1,4,0.25
Russo,199683,3,5,0.60,184,300,0.61,20,48,0.42,1,2,0.50,11,26,0.42
Garza,192080,5,5,1.00,85,151,0.56,4,9,0.44,0,0,0.00,4,5,0.80
Pellegrini,191281,36,54,0.67,22,37,0.59,70,151,0.46,3,7,0.43,105,208,0.50
James,192352,7,11,0.64,3,5,0.60,22,50,0.44,0,5,0.00,11,26,0.42
Broome,202508,0,0,0.00,0,0,0.00,0,0,0.00,0,2,0.00,2,4,0.50
Conte,200113,4,7,0.57,10,19,0.53,18,51,0.35,0,1,0.00,4,10,0.40
Logan,199407,0,0,0.00,48,88,0.55,2,5,0.40,0,0,0.00,2,4,0.50
Gaskins,198161,2,2,1.00,163,293,0.56,12,22,0.55,0,1,0.00,2,5,0.40
Ford,192949,0,0,0.00,83,146,0.57,6,14,0.43,0,0,0.00,0,3,0.00
Schuster,183275,34,50,0.68,17,32,0.53,68,142,0.48,1,8,0.12,108,198,0.55
Jordan,189577,0,0,0.00,6,13,0.46,1,3,0.33,0,0,0.00,1,1,1.00
Paxton,187529,0,0,0.00,5,8,0.62,2,8,0.25,0,0,0.00,1,5,0.20
Stroud,185607,4,4,1.00,66,116,0.57,72,153,0.47,2,4,0.50,6,12,0.50
Hurley,199216,1,1,1.00,20,44,0.45,19,50,0.38,33,107,0.31,3,8,0.38
Collier,187813,2,4,0.50,123,223,0.55,13,21,0.62,6,18,0.33,17,41,0.41
Becker,195828,1,2,0.50,33,61,0.54,4,8,0.50,3,7,0.43,9,14,0.64
Louis,190008,13,19,0.68,26,56,0.46,39,83,0.47,130,319,0.41,25,59,0.42
Tyree,195889,20,26,0.77,10,27,0.37,55,107,0.51,91,265,0.34,30,65,0.46
Fisher,205061,17,22,0.77,12,22,0.55,22,53,0.42,44,153,0.29,7,24,0.29
Walker,204028,2,2,1.00,57,103,0.55,14,24,0.58,3,9,0.33,3,6,0.50
Baker,199662,0,0,0.00,4,4,1.00,0,1,0.00,0,1,0.00,0,0,0.00
